"DateTime";"Players"
"2024-12-06 00:00:00";39
"2024-12-06 00:10:00";76261
"2024-12-06 00:20:00";174410
"2024-12-06 00:30:00";243728
"2024-12-06 00:40:00";300155
"2024-12-06 00:50:00";342086
"2024-12-06 01:00:00";372430
"2024-12-06 01:10:00";395455
"2024-12-06 01:20:00";411980
"2024-12-06 01:30:00";423594
"2024-12-06 01:40:00";432793
"2024-12-06 01:50:00";439283
"2024-12-06 02:00:00";442395
"2024-12-06 02:10:00";443233
"2024-12-06 02:20:00";444081
"2024-12-06 02:30:00";444286
"2024-12-06 02:40:00";443347
"2024-12-06 02:50:00";443167
"2024-12-06 03:00:00";440318
"2024-12-06 03:10:00";435400
"2024-12-06 03:20:00";431035
"2024-12-06 03:30:00";426530
"2024-12-06 03:40:00";420924
"2024-12-06 03:50:00";415683
"2024-12-06 04:00:00";409403
"2024-12-06 04:10:00";402052
"2024-12-06 04:20:00";395556
"2024-12-06 04:30:00";389369
"2024-12-06 04:40:00";384038
"2024-12-06 04:50:00";377759
"2024-12-06 05:00:00";370260
"2024-12-06 05:10:00";360416
"2024-12-06 05:20:00";351841
"2024-12-06 05:30:00";342934
"2024-12-06 05:40:00";334243
"2024-12-06 05:50:00";325711
"2024-12-06 06:00:00";316423
"2024-12-06 06:10:00";306038
"2024-12-06 06:20:00";296800
"2024-12-06 06:30:00";288246
"2024-12-06 06:40:00";279925
"2024-12-06 06:50:00";271711
"2024-12-06 07:00:00";263934
"2024-12-06 07:10:00";255329
"2024-12-06 07:20:00";247607
"2024-12-06 07:30:00";240642
"2024-12-06 07:40:00";233701
"2024-12-06 07:50:00";226719
"2024-12-06 08:00:00";220765
"2024-12-06 08:10:00";214259
"2024-12-06 08:20:00";208465
"2024-12-06 08:30:00";203419
"2024-12-06 08:40:00";198922
"2024-12-06 08:50:00";195457
"2024-12-06 09:00:00";191699
"2024-12-06 09:10:00";187646
"2024-12-06 09:20:00";185069
"2024-12-06 09:30:00";182857
"2024-12-06 09:40:00";181411
"2024-12-06 09:50:00";180204
"2024-12-06 10:00:00";179457
"2024-12-06 10:10:00";179062
"2024-12-06 10:20:00";179296
