"DateTime";"Games"
"2019-08-01 00:00:00";744
"2019-09-01 00:00:00";714
"2019-10-01 00:00:00";723
"2019-11-01 00:00:00";698
"2019-12-01 00:00:00";639
"2020-01-01 00:00:00";692
"2020-02-01 00:00:00";716
"2020-03-01 00:00:00";668
"2020-04-01 00:00:00";756
"2020-05-01 00:00:00";803
"2020-06-01 00:00:00";746
"2020-07-01 00:00:00";877
"2020-08-01 00:00:00";850
"2020-09-01 00:00:00";828
"2020-10-01 00:00:00";974
"2020-11-01 00:00:00";867
"2020-12-01 00:00:00";912
"2021-01-01 00:00:00";744
"2021-02-01 00:00:00";859
"2021-03-01 00:00:00";951
"2021-04-01 00:00:00";887
"2021-05-01 00:00:00";917
"2021-06-01 00:00:00";924
"2021-07-01 00:00:00";925
"2021-08-01 00:00:00";925
"2021-09-01 00:00:00";977
"2021-10-01 00:00:00";1169
"2021-11-01 00:00:00";977
"2021-12-01 00:00:00";1059
"2022-01-01 00:00:00";917
"2022-02-01 00:00:00";894
"2022-03-01 00:00:00";1087
"2022-04-01 00:00:00";862
"2022-05-01 00:00:00";1095
"2022-06-01 00:00:00";918
"2022-07-01 00:00:00";1025
"2022-08-01 00:00:00";1063
"2022-09-01 00:00:00";1086
"2022-10-01 00:00:00";1177
"2022-11-01 00:00:00";1136
"2022-12-01 00:00:00";1132
"2023-01-01 00:00:00";1018
"2023-02-01 00:00:00";1077
"2023-03-01 00:00:00";1240
"2023-04-01 00:00:00";1184
"2023-05-01 00:00:00";1159
"2023-06-01 00:00:00";1133
"2023-07-01 00:00:00";1123
"2023-08-01 00:00:00";1234
"2023-09-01 00:00:00";1226
"2023-10-01 00:00:00";1348
"2023-11-01 00:00:00";1319
"2023-12-01 00:00:00";1275
"2024-01-01 00:00:00";1269
"2024-02-01 00:00:00";1519
"2024-03-01 00:00:00";1466
"2024-04-01 00:00:00";1437
"2024-05-01 00:00:00";1630
"2024-06-01 00:00:00";1521
"2024-07-01 00:00:00";1639
"2024-08-01 00:00:00";1756
"2024-09-01 00:00:00";1514
"2024-10-01 00:00:00";1912
"2024-11-01 00:00:00";1697
